      material  location  period     label       f_0     res_1       f_1  \
0          0.0       9.0    12.0  0.110000  0.138144 -0.028144  0.138330   
1          0.0       9.0    24.0  0.110000  0.138144 -0.028144  0.138330   
2          0.0       9.0    48.0  0.260000  0.138144  0.121856  0.138330   
3          0.0       9.0    96.0  0.270000  0.138144  0.131856  0.133341   
4          0.0       7.0    12.0  0.220000  0.138144  0.081856  0.138330   
5          0.0       7.0    24.0  0.130000  0.138144 -0.008144  0.138330   
6          0.0       7.0    48.0  0.080000  0.138144 -0.058144  0.138330   
7          0.0       7.0    96.0  0.050000  0.138144 -0.088144  0.133341   
8          0.0       7.0   192.0  0.040000  0.138144 -0.098144  0.133341   
9          0.0       5.0    12.0  0.220000  0.138144  0.081856  0.138330   
10         0.0       5.0    24.0  0.150000  0.138144  0.011856  0.138330   
11         0.0       5.0    48.0  0.110000  0.138144 -0.028144  0.138330   
12         0.0       5.0    96.0  0.090000  0.138144 -0.048144  0.133341   
13         0.0       5.0   192.0  0.090000  0.138144 -0.048144  0.133341   
14         0.0      13.0    12.0  0.140000  0.138144  0.001856  0.145557   
15         0.0      13.0    24.0  0.420000  0.138144  0.281856  0.145557   
16         0.0      13.0    48.0  0.390000  0.138144  0.251856  0.145557   
17         0.0      11.0    12.0  0.160000  0.138144  0.021856  0.138330   
18         0.0      11.0    24.0  0.130000  0.138144 -0.008144  0.138330   
19         0.0      11.0    48.0  0.092000  0.138144 -0.046144  0.138330   
20         0.0      11.0    96.0  0.080000  0.138144 -0.058144  0.133341   
21         0.0      11.0   192.0  0.055000  0.138144 -0.083144  0.133341   
22         0.0      10.0    12.0  0.100000  0.138144 -0.038144  0.138330   
23         0.0      10.0    24.0  0.087000  0.138144 -0.051144  0.138330   
24         0.0      10.0    48.0  0.069000  0.138144 -0.069144  0.138330   
25         0.0      10.0    96.0  0.056000  0.138144 -0.082144  0.133341   
26         0.0      10.0   192.0  0.071900  0.138144 -0.066244  0.133341   
27         1.0       9.0    12.0  0.100000  0.138144 -0.038144  0.138330   
28         1.0       9.0    24.0  0.140000  0.138144  0.001856  0.138330   
29         1.0       9.0    48.0  0.240000  0.138144  0.101856  0.138330   
30         1.0       9.0    96.0  0.240000  0.138144  0.101856  0.133341   
31         1.0       7.0    12.0  0.280000  0.138144  0.141856  0.138330   
32         1.0       7.0    24.0  0.150000  0.138144  0.011856  0.138330   
33         1.0       7.0    48.0  0.100000  0.138144 -0.038144  0.138330   
34         1.0       7.0    96.0  0.060000  0.138144 -0.078144  0.133341   
35         1.0       7.0   192.0  0.050000  0.138144 -0.088144  0.133341   
36         1.0       5.0    12.0  0.180000  0.138144  0.041856  0.138330   
37         1.0       5.0    24.0  0.150000  0.138144  0.011856  0.138330   
38         1.0       5.0    48.0  0.100000  0.138144 -0.038144  0.138330   
39         1.0       5.0    96.0  0.080000  0.138144 -0.058144  0.133341   
40         1.0       5.0   192.0  0.070000  0.138144 -0.068144  0.133341   
41         1.0      13.0    12.0  0.091000  0.138144 -0.047144  0.145557   
42         1.0      13.0    24.0  0.160000  0.138144  0.021856  0.145557   
43         1.0      13.0    48.0  0.330000  0.138144  0.191856  0.145557   
44         1.0      11.0    24.0  0.180000  0.138144  0.041856  0.138330   
45         1.0      11.0    48.0  0.110000  0.138144 -0.028144  0.138330   
46         1.0      11.0    96.0  0.100000  0.138144 -0.038144  0.133341   
47         1.0      11.0   192.0  0.073200  0.138144 -0.064944  0.133341   
